"legis.names","mean.x","vars.x","party","session"
"周慧瑛",-1.52538223620315,0.00106930440671708,"D","4th Session"
"周正之",1.10776559524246,0.00106930440671708,"K","4th Session"
"周清玉",-1.54049603914458,0.00106930440671708,"D","4th Session"
"周錫瑋",0.473714745564807,0.00106930440671708,"K","4th Session"
"周雅淑",-1.5718365667757,0.00106930440671708,"D","4th Session"
"唐碧娥",-1.53471292679344,0.00106930440671708,"D","4th Session"
"姚高橋",0.40979440360216,0.00106930440671708,"K","4th Session"
"宋煦光",1.02646208342276,0.00106930440671708,"K","4th Session"
"巴燕達魯",-1.52600040337915,0.00106930440671708,"D","4th Session"
"廖婉汝",0.973754796337279,0.00106930440671708,"K","4th Session"
"廖學廣",0.221495767987499,0.00106930440671708,"O1","4th Session"
"廖福本",0.97309877311313,0.00106930440671708,"K","4th Session"
"廖風德",1.08495673457163,0.00106930440671708,"K","4th Session"
"張世良",-0.136329233240053,0.00106930440671708,"k2","4th Session"
"張俊宏",-1.50329452799256,0.00106930440671708,"D","4th Session"
"張俊雄",-1.3026617937011,0.00106930440671708,"D","4th Session"
"張學舜",-1.42173622047546,0.00106930440671708,"D","4th Session"
"張川田",-1.50609102563082,0.00106930440671708,"D","4th Session"
"張文儀",0.817207732960492,0.00106930440671708,"K","4th Session"
"張旭成",-1.42435255439131,0.00106930440671708,"D","4th Session"
"張明雄",0.826346706526705,0.00106930440671708,"K","4th Session"
"張清芳",-1.52646039434762,0.00106930440671708,"D","4th Session"
"張福興",1.00889178486779,0.00106930440671708,"K","4th Session"
"張秀珍",-1.49110630757408,0.00106930440671708,"D","4th Session"
"張蔡美",0.977773343050958,0.00106930440671708,"K","4th Session"
"彭紹瑾",-1.57505764155909,0.00106930440671708,"D","4th Session"
"徐中雄",0.484307611218672,0.00106930440671708,"K","4th Session"
"徐少萍",1.01325142338159,0.00106930440671708,"K","4th Session"
"徐志明",-1.48135013918293,0.00106930440671708,"D","4th Session"
"徐慶元",0.117765984295698,0.00106930440671708,"O5","4th Session"
"徐成焜",-0.202770367417688,0.00106930440671708,"O5","4th Session"
"方醫良",1.08080014772325,0.00106930440671708,"K","4th Session"
"施明德",-1.50103199996441,0.00106930440671708,"D","4th Session"
"曹啟鴻",-1.59917019320029,0.00106930440671708,"D","4th Session"
"曹爾忠",1.09204305588292,0.00106930440671708,"K","4th Session"
"曾振農",1.04162303045787,0.00106930440671708,"K","4th Session"
"曾永權",0.999795524887772,0.00106930440671708,"K","4th Session"
"曾華德",0.958794042476989,0.00106930440671708,"K","4th Session"
"曾蔡美佐",0.779358011272994,0.00106930440671708,"K","4th Session"
"朱惠良",-0.28944370259923,0.00106930440671708,"k2","4th Session"
"朱星羽",-1.44043573308278,0.00106930440671708,"D","4th Session"
"朱立倫",0.635840383985016,0.00106930440671708,"K","4th Session"
"朱鳳芝",1.00609090334917,0.00106930440671708,"K","4th Session"
"李俊毅",-1.53977416270293,0.00106930440671708,"D","4th Session"
"李先仁",0.539627567306632,0.00106930440671708,"K","4th Session"
"李全教",1.01758291734655,0.00106930440671708,"K","4th Session"
"李嘉進",0.928219300565571,0.00106930440671708,"K","4th Session"
"李慶安",0.720306993362037,0.00106930440671708,"K","4th Session"
"李慶華",-0.0778243075055298,0.00106930440671708,"k2","4th Session"
"李慶雄",-1.43498950755565,0.00106930440671708,"O6","4th Session"
"李應元",-1.32847989376827,0.00106930440671708,"D","4th Session"
"李文忠",-1.54850300485103,0.00106930440671708,"D","4th Session"
"李正宗",1.006221196145,0.00106930440671708,"K","4th Session"
"李炷烽",-0.337593732677133,0.00106930440671708,"k2","4th Session"
"李顯榮",0.926782046750308,0.00106930440671708,"K","4th Session"
"李鳴皋",1.12256708316082,0.00106930440671708,"K","4th Session"
"林南生",0.793075197589086,0.00106930440671708,"K","4th Session"
"林國華",-1.56359585629631,0.00106930440671708,"D","4th Session"
"林國龍",0.796453711887313,0.00106930440671708,"K","4th Session"
"林宏宗",0.49988417032899,0.00106930440671708,"O1","4th Session"
"林宗男",-1.49875034855251,0.00106930440671708,"D","4th Session"
"林建榮",1.01761669518887,0.00106930440671708,"K","4th Session"
"林志嘉",0.264146704265043,0.00106930440671708,"O5","4th Session"
"林忠正",-1.50885954499809,0.00106930440671708,"D","4th Session"
"林政則",1.02293246407471,0.00106930440671708,"K","4th Session"
"林文郎",-1.52475458620942,0.00106930440671708,"D","4th Session"
"林明義",0.97444481443213,0.00106930440671708,"K","4th Session"
"林春德",0.981807783277863,0.00106930440671708,"K","4th Session"
"林正二",1.0200395977664,0.00106930440671708,"K","4th Session"
"林源山",1.00089362669956,0.00106930440671708,"K","4th Session"
"林濁水",-1.45223821064987,0.00106930440671708,"D","4th Session"
"林炳坤",1.00485518025561,0.00106930440671708,"K","4th Session"
"林瑞圖",0.196960495538607,0.00106930440671708,"O1","4th Session"
"林益世",0.86819320232628,0.00106930440671708,"K","4th Session"
"林耀興",0.779196068905271,0.00106930440671708,"K","4th Session"
"林豐喜",-1.35946545722597,0.00106930440671708,"D","4th Session"
"林進春",0.821742406711692,0.00106930440671708,"K","4th Session"
"林重謨",-1.52018960877383,0.00106930440671708,"D","4th Session"
"柯建銘",-1.51764759162332,0.00106930440671708,"D","4th Session"
"梁牧養",-1.60450767330335,0.00106930440671708,"D","4th Session"
"楊仁福",0.813145252078763,0.00106930440671708,"K","4th Session"
"楊作洲",1.04649101864487,0.00106930440671708,"K","4th Session"
"楊吉雄",0.872405950660855,0.00106930440671708,"K","4th Session"
"楊文欣",0.99426201676741,0.00106930440671708,"K","4th Session"
"楊瓊瓔",0.8090848042423,0.00106930440671708,"K","4th Session"
"楊秋興",-1.48586620278804,0.00106930440671708,"D","4th Session"
"江綺雯",1.03879837620168,0.00106930440671708,"K","4th Session"
"沈富雄",-1.52444342325487,0.00106930440671708,"D","4th Session"
"沈智慧",0.454295525795786,0.00106930440671708,"K","4th Session"
"洪奇昌",-1.55942161627869,0.00106930440671708,"D","4th Session"
"洪性榮",0.667372212105469,0.00106930440671708,"K","4th Session"
"洪昭男",0.940086382960937,0.00106930440671708,"K","4th Session"
"洪玉欽",1.09177945212085,0.00106930440671708,"K","4th Session"
"洪秀柱",1.08280214441731,0.00106930440671708,"K","4th Session"
